channel,heldout_domain,n_train,n_cal,n_val_in,n_test_out,in_f1,out_f1,in_macro_f1,out_macro_f1,domain_gap,domain_gap_macro,out_precision,out_recall,out_auc,threshold
A,abuse,1359,453,454,551,0.7330677290836654,0.7017001545595054,0.7015092339999607,0.6387621651918406,0.03136757452415995,0.06274706880812009,0.6776119402985075,0.7275641025641025,0.7311313163823624,0.3200000000000001
A,anxiety,1389,463,463,502,0.708029197080292,0.8282828282828283,0.6423743868999343,0.7228230861671376,-0.12025363120253629,-0.08044869926720333,0.790633608815427,0.8696969696969697,0.795366455250176,0.2
A,financial,1347,449,449,572,0.7217235188509874,0.6125461254612546,0.6335890321527664,0.6318544580794645,0.10917739338973276,0.0017345740733019088,0.526984126984127,0.7312775330396476,0.7014237374704717,0.2
A,ptsd,1342,448,448,579,0.6833333333333333,0.7411764705882353,0.658974358974359,0.6864878168840758,-0.05784313725490198,-0.02751345790971682,0.72,0.7636363636363637,0.7309723743458683,0.36000000000000015
A,social,1322,441,441,613,0.7542857142857143,0.6715328467153284,0.6964705882352942,0.6278181793650579,0.08275286757038591,0.06865240887023627,0.5707196029776674,0.8156028368794326,0.6958389578110604,0.23000000000000004
B,abuse,1359,453,454,551,0.735593220338983,0.7420212765957447,0.6225135913015669,0.5938677811550153,-0.006428056256761683,0.028645810146551653,0.634090909090909,0.8942307692307693,0.6844759146014376,0.2700000000000001
B,anxiety,1389,463,463,502,0.7008,0.8010139416983524,0.5397687707641196,0.5353906917794088,-0.1002139416983524,0.004378078984710765,0.6884531590413944,0.9575757575757575,0.6763213530655392,0.25000000000000006
B,financial,1347,449,449,572,0.697841726618705,0.5972495088408645,0.6033068282216332,0.6372074315857865,0.10059221777784055,-0.03390060336415335,0.5390070921985816,0.6696035242290749,0.7037732235203983,0.4300000000000002
B,ptsd,1342,448,448,579,0.7037037037037037,0.7396593673965937,0.5604611233750307,0.5513773027459159,-0.03595566369288994,0.009083820629114836,0.6178861788617886,0.9212121212121213,0.7105999756602166,0.25000000000000006
B,social,1322,441,441,613,0.7342657342657343,0.6708542713567839,0.6219715768102865,0.5307759728876943,0.06341146290895039,0.09119560392259218,0.519455252918288,0.9468085106382979,0.7182833022647896,0.3200000000000001
C,abuse,1359,453,454,551,0.7887323943661971,0.7803547066848567,0.7178956089478045,0.6720201717706127,0.008377687681340396,0.04587543717719178,0.6793349168646081,0.9166666666666666,0.797165003754962,0.2
C,anxiety,1389,463,463,502,0.7265625,0.808199121522694,0.6941991243961353,0.7000497165245869,-0.08163662152269402,-0.005850592128451626,0.7818696883852692,0.8363636363636363,0.7937279774489077,0.4000000000000002
C,financial,1347,449,449,572,0.7661016949152543,0.6856127886323268,0.6590248734316531,0.69048281428174,0.08048890628292749,-0.03145794085008691,0.5744047619047619,0.8502202643171806,0.8006129094043286,0.24000000000000005
C,ptsd,1342,448,448,579,0.7419962335216572,0.7942708333333334,0.6833268838841162,0.6945713141025641,-0.05227459981167615,-0.011244430218447898,0.6963470319634704,0.9242424242424242,0.8126931970305464,0.3000000000000001
C,social,1322,441,441,613,0.7848101265822784,0.6871165644171779,0.711553999461352,0.6658579337765332,0.0976935621651005,0.045696065684818765,0.6054054054054054,0.7943262411347518,0.7602151228814467,0.22000000000000003
AB,abuse,1359,453,454,551,0.7785977859778598,0.7596017069701281,0.7253644667594217,0.6680214048635101,0.018996079007731703,0.05734306189591154,0.6828644501278772,0.8557692307692307,0.7475458641776633,0.37000000000000016
AB,anxiety,1389,463,463,502,0.7286527514231499,0.8083916083916084,0.6851283807241062,0.667171582742517,-0.0797388569684585,0.017956797981589223,0.7506493506493507,0.8757575757575757,0.7682875264270614,0.4400000000000002
AB,financial,1347,449,449,572,0.7306967984934086,0.6443514644351465,0.6705255109633256,0.6945481045899455,0.08634533405826217,-0.02402259362661996,0.6135458167330677,0.6784140969162996,0.7693417608376429,0.45000000000000023
AB,ptsd,1342,448,448,579,0.7385740402193784,0.7761966364812419,0.6644159599377695,0.6634229935652962,-0.037622596261863483,0.0009929663724732585,0.6772009029345373,0.9090909090909091,0.7864670804429841,0.35000000000000014
AB,social,1322,441,441,613,0.7560521415270018,0.6981132075471698,0.6881709982997328,0.6176516450958989,0.057938933979832075,0.07051935320383396,0.5630434782608695,0.9184397163120568,0.7663859784448588,0.3900000000000002
AC,abuse,1359,453,454,551,0.7479674796747967,0.7309486780715396,0.7249452782989367,0.6770211799943755,0.017018801603257083,0.047924098304561236,0.7099697885196374,0.7532051282051282,0.7664011372170368,0.2700000000000001
AC,anxiety,1389,463,463,502,0.6927592954990215,0.822289156626506,0.6572230212434866,0.7376151665485471,-0.12952986112748455,-0.08039214530506045,0.8173652694610778,0.8272727272727273,0.8011275546159267,0.21000000000000002
AC,financial,1347,449,449,572,0.7300380228136882,0.6383763837638377,0.6741587963530806,0.6563974942075002,0.09166163904985059,0.01776130214558047,0.5492063492063493,0.762114537444934,0.7398838025920961,0.2
AC,ptsd,1342,448,448,579,0.681912681912682,0.7465181058495822,0.6566189915587506,0.6664408711066092,-0.06460542393690027,-0.009821879547858625,0.6907216494845361,0.8121212121212121,0.7534623341852258,0.22000000000000003
AC,social,1322,441,441,613,0.7388781431334622,0.6236220472440945,0.684507564717416,0.6096113620315227,0.1152560958893677,0.07489620268589336,0.5609065155807366,0.7021276595744681,0.6642990293758437,0.2
BC,abuse,1359,453,454,551,0.7861060329067642,0.7713125845737483,0.7310031549575372,0.6528739231408687,0.01479344833301588,0.07812923181666853,0.667447306791569,0.9134615384615384,0.763343525372814,0.3300000000000001
BC,anxiety,1389,463,463,502,0.7617260787992496,0.8409090909090909,0.7192854312571312,0.7337878787878789,-0.07918301210984136,-0.014502447530747697,0.7914438502673797,0.896969696969697,0.8107117688513038,0.4000000000000002
BC,financial,1347,449,449,572,0.7578253706754531,0.6641929499072357,0.6263353657500976,0.6825096980941137,0.09363242076821743,-0.05617433234401603,0.5737179487179487,0.788546255506608,0.7955819447104642,0.2900000000000001
BC,ptsd,1342,448,448,579,0.7664233576642335,0.7824967824967825,0.6993036328551052,0.6694636143455042,-0.01607342483254892,0.02984001850960105,0.680089485458613,0.9212121212121213,0.819922112693197,0.35000000000000014
BC,social,1322,441,441,613,0.7773722627737226,0.6933333333333334,0.7060514008479392,0.6588263762855415,0.08403892944038927,0.04722502456239763,0.5954198473282443,0.8297872340425532,0.7851878039896295,0.36000000000000015
ABC,abuse,1359,453,454,551,0.7889908256880734,0.7717391304347826,0.7360932089872874,0.6563613684960798,0.017251695253290844,0.07973184049120752,0.6698113207547169,0.9102564102564102,0.763222830168437,0.34000000000000014
ABC,anxiety,1389,463,463,502,0.7617260787992496,0.8397163120567376,0.7192854312571312,0.7308949453260276,-0.077990233257488,-0.011609514068896432,0.7893333333333333,0.896969696969697,0.8107646229739254,0.4000000000000002
ABC,financial,1347,449,449,572,0.759075907590759,0.6641929499072357,0.6295379537953796,0.6825096980941137,0.0948829576835234,-0.05297174429873408,0.5737179487179487,0.788546255506608,0.7953648726297643,0.2900000000000001
ABC,ptsd,1342,448,448,579,0.7631103074141049,0.7861715749039693,0.6905930545816881,0.6716003763114011,-0.023061267489864368,0.018992678270286945,0.6807095343680709,0.9303030303030303,0.8197760739929415,0.34000000000000014
ABC,social,1322,441,441,613,0.7773722627737226,0.6933333333333334,0.7060514008479392,0.6588263762855415,0.08403892944038927,0.04722502456239763,0.5954198473282443,0.8297872340425532,0.7851770906987208,0.36000000000000015
